぀ : 0              , ぁ : 6754           , あ : 131288         , ぃ : 23996          , 
績 : 361            , 留 : 349            , 昇 : 492            , 佐 : 278            , 峰 : 168            , 
磁 : 396            , 痛 : 489            , 感 : 2155           , 歯 : 632            , 脈 : 531            , 
静 : 443            , 釜 : 63             , 群 : 445            , 林 : 520            , 譜 : 74             , 
冒 : 216            , 傷 : 510            , 腰 : 124            , 麓 : 26             , 養 : 482            , 
液 : 534            , 強 : 2045           , 散 : 721            , 乱 : 542            , 弓 : 91             , 
絞 : 90             , 放 : 1456           , 構 : 2115           , 備 : 1330           , 待 : 1048           , 
満 : 809            , 盆 : 97             , 奉 : 103            , 休 : 726            , 暇 : 176            , 
里 : 255            , 薮 : 4              , 君 : 1225           , 片 : 366            , 緑 : 434            , 
似 : 639            , 越 : 429            , 滝 : 202            , 浄 : 131            , 堀 : 46             , 
辰 : 28             , 買 : 867            , 商 : 967            , 緋 : 9              , 研 : 1564           , 
究 : 1539           , 拠 : 695            , 宇 : 889            , 足 : 1337           , 胡 : 54             , 
錦 : 37             , 濤 : 12             , 造 : 1744           , 仕 : 1499           , 激 : 429            , 
丁 : 189            , 湊 : 7              , 討 : 232            , 忠 : 138            , 楠 : 10             , 
臓 : 465            , 刺 : 314            , 反 : 1763           , 射 : 538            , 問 : 2213           , 
互 : 578            , 換 : 786            , 更 : 615            , 桃 : 71             , 岡 : 322            , 
周 : 1076           , 燃 : 444            , 碁 : 92             , 姫 : 201            , 失 : 1113           , 
鼻 : 177            , 夢 : 392            , 仏 : 346            , 歩 : 1241           , 施 : 744            , 
賊 : 83             , 件 : 1049           , 徴 : 867            , 続 : 2492           , 遺 : 992            , 
梨 : 136            , 覚 : 1009           , 栗 : 74             , 鳴 : 320            , 触 : 484            , 
聚 : 3              , 六 : 228            , 即 : 135            , 噺 : 15             , 枕 : 82             , 
遠 : 598            , 舟 : 94             , 仲 : 436            , 獄 : 156            , 漁 : 142            , 
潮 : 128            , 接 : 1560           , 筋 : 531            , 廷 : 105            , 我 : 799            , 
桓 : 8              , 胞 : 492            , 個 : 1461           , 噛 : 104            , 走 : 1060           , 
鏑 : 7              , 祥 : 139            , 急 : 758            , 増 : 1068           , 措 : 43             , 
虹 : 100            , 鵜 : 25             , 溺 : 28             , 腐 : 309            , 材 : 1150           , 
従 : 814            , 塗 : 202            , 替 : 369            , 柚 : 12             , 塩 : 554            , 
功 : 933            , 匠 : 61             , 継 : 591            , 承 : 249            , 被 : 322            , 
肌 : 102            , 汐 : 13             , 晶 : 156            , 券 : 388            , 荘 : 51             , 
升 : 12             , 懐 : 102            , 直 : 1541           , 箸 : 100            , 洗 : 589            , 
殖 : 138            , 牝 : 16             , 情 : 1783           , 促 : 254            , 牡 : 59             , 
肉 : 1216           , 給 : 655            , 肝 : 113            , 枚 : 731            , 狂 : 190            , 
執 : 298            , 堂 : 651            , 棋 : 170            , 駒 : 163            , 篤 : 17             , 
志 : 224            , 哉 : 36             , 末 : 634            , 派 : 713            , 樺 : 20             , 
栄 : 534            , 列 : 841            , 槽 : 82             , 膿 : 4              , 漏 : 91             , 
舌 : 83             , 徹 : 65             , 額 : 507            , 柄 : 192            , 財 : 588            , 
逼 : 1              , 迫 : 153            , 借 : 291            , 倒 : 436            , 汗 : 69             , 
疱 : 2              , 癬 : 2              , 伴 : 294            , 挨 : 76             , 拶 : 76             , 
氷 : 530            , 需 : 154            , 濃 : 192            , 尾 : 336            , 憩 : 106            , 
漠 : 228            , 湧 : 21             , 隅 : 58             , 折 : 304            , 纏 : 6              , 
審 : 271            , 肺 : 156            , 疾 : 205            , 患 : 414            , 誕 : 422            , 
羊 : 202            , 肖 : 55             , 菌 : 356            , 染 : 544            , 病 : 1250           , 
潜 : 266            , 伏 : 143            , 姉 : 222            , 娼 : 11             , 魁 : 10             , 
恋 : 397            , 貿 : 184            , 是 : 161            , 尻 : 126            , 雀 : 56             , 
素 : 3033           , 効 : 1402           , 殊 : 185            , 昼 : 172            , 飯 : 251            , 
晩 : 179            , 宅 : 591            , 笠 : 42             , 欠 : 495            , 谷 : 401            , 
浩 : 49             , 奪 : 241            , 詩 : 619            , 蚊 : 63             , 核 : 545            , 
僅 : 17             , 凌 : 49             , 剣 : 209            , 阿 : 87             , 魯 : 16             , 
迅 : 75             , 酸 : 972            , 峠 : 53             , 裃 : 5              , 貸 : 182            , 
幌 : 71             , 螺 : 41             , 操 : 497            , 剥 : 59             , 薄 : 238            , 
紙 : 863            , 津 : 205            , 彌 : 5              , 敏 : 67             , 弾 : 446            , 
泳 : 488            , 凱 : 29             , 快 : 256            , 晴 : 691            , 葛 : 43             , 
斎 : 69             , 嶽 : 17             , 景 : 579            , 退 : 972            , 郡 : 492            , 
粉 : 431            , 袋 : 396            , 脱 : 395            , 脂 : 275            , 軟 : 168            , 
干 : 273            , 渉 : 127            , 匹 : 143            , 抵 : 157            , 抗 : 469            , 
貞 : 39             , 掲 : 219            , 堺 : 16             , 塊 : 65             , 瓶 : 152            , 
皆 : 310            , 貴 : 394            , 員 : 2334           , 奥 : 160            , 虎 : 102            , 
威 : 285            , 狐 : 57             , 障 : 514            , 俵 : 44             , 黙 : 163            , 
枝 : 130            , 笛 : 45             , 柔 : 358            , 涯 : 163            , 老 : 325            , 
弼 : 14             , 忌 : 35             , 芥 : 76             , 之 : 158            , 介 : 929            , 
